Copyright 2020 Foundation Center

Grantmaker Name,Grantmaker State,Recipient Name,Recipient City,Recipient State/Country,Primary Subject,Year Authorized,Grant Amount,Support Strategies,Description
"The Commonwealth Fund","New York","Harvard University","Boston","Massachusetts","" ,"2021","800000","Capacity-building and technical assistance;Convening;Policy, advocacy and systems reform;Fellowships;","The project will support up to five fellows for the 2021–22 school year. Through intensive study in health policy, public health, and management, fellows complete a master’s degree in public health at the Harvard School of Public Health or a master’s in public administration at the Harvard Kennedy School. They also participate in a leadership curriculum that features leadership forums, a management seminar series, one-on-one sessions with mentors and leaders, a leadership case series, and an equity and social justice series. In addition to coursework, Harvard will provide the cohort with practical training, identify new opportunities for real-world exposure, strengthen mentoring, and expand guidance for career development. The fellowship network will also be strengthened through logistical support for alumni activities, administration of the alumni listserv and database, and the showcasing of alumni success through the “spotlight” series. Harvard will develop a robust evaluation framework to measure the program’s outcomes."
"The Commonwealth Fund","New York","Georgetown University","Washington","District of Columbia","Health insurance" ,"2021","651579","Systems reform;Research;Data and measurement systems;","The Georgetown team will build on its tracking and networking effort to monitor states’ legislative and regulatory decisions in response to federal policy changes and pending judicial decisions. In addition, the team will continue to monitor states’ actions in response to the COVID-19 crisis. Using these data, along with secondary data sources and interviews with state officials and others, the researchers will seek to understand how state and federal policy decisions and the pandemic are affecting the individual insurance market in the following areas: marketplace stability, plan participation, enrollment, and affordability and adequacy of coverage."
"The Commonwealth Fund","New York","Yale University","New Haven","Connecticut","Health care management" ,"2021","228156","Policy, advocacy and systems reform;Fellowships;","This grant will support two fellows for the two-year program. After completing a core curriculum, fellows will pursue coursework in health care management, policy, economics, and operations. They also will complete a leadership practicum based at a health care organization. Other activities include a speaker series, site visits, mentorship, and career counseling. The fellowship is overseen by a national advisory committee of health care leaders and an institutional advisory committee of Yale faculty. Fellows will have two mentors, one an advisory committee member and the other a local health care professional. Yale and the Commonwealth Fund will select a second cohort of fellows for the 2021–23 academic cycle. Yale is also developing plans to engage fellowship alumni in campus activities such as panels, speakers, and receptions."
"The Commonwealth Fund","New York","UC Hastings College of Law","San Francisco","California","Economics" ,"2021","169446","Policy, advocacy and systems reform;Research;","The project aims to address whether consolidation in the pharmaceutical industry is problematic from an innovation or competition standpoint through literature review and theoretical interpretation. The project will consider 1) how consolidation in the industry among different types of firms affects market structure and financial incentives in the supply chain and thereby influences drug costs, and 2) whether the Hirschman-herfindahl Index (HHI) is an appropriate measure for the pharmaceutical industry due to the segmentation of the markets and the interaction of various intellectual property rights and regulations. The project will use utilize an exhaustive literature review of academic sources, grey literature, government reports, industry analyses, pipeline assessments, manufacturers’ annual statements, and more in order to develop a theoretical framework to assess the state of competition and develop policy solutions."
"The Morris and Gwendolyn Cafritz Foundation","District of Columbia","DC Public Education Fund","Washington","District of Columbia","Education services" ,"2021","150000","Program support;","To support the DC Reading Clinic, to be paid over two years."
"The Morris and Gwendolyn Cafritz Foundation","District of Columbia","University of Maryland Foundation","Adelphi","Maryland","Community and economic development" ,"2021","100000","Program support;","To support the expansion of Career Readiness Pipeline from high school to baccalaureate degree for 2500 students in Montgomery County."
"The Morris and Gwendolyn Cafritz Foundation","District of Columbia","Friends of Choice in Urban Schools (focus)","Washington","District of Columbia","Elementary and secondary education" ,"2021","95000","General support;","$75,000 For general support and $20,000 to support costs associated with the merger with the DC Association for Chartered Public Schools."
"The Commonwealth Fund","New York","UC Hastings College of Law","San Francisco","California","Health care financing" ,"2021","92238","Regulation and administration;Systems reform;Research;Awards, prizes and competitions;","The project seeks to study how government regulatory efforts of various types can complement and promote competition in health care markets. The project will start with a literature review on competition and regulation theory in order to support the position that the most effective cost control models in the future will employ mutually supportive regulatory and competitive approaches. Next, the researchers will identify real-world models of such approaches through a literature review and targeted interviews, including models that focus on constraining price while competing on other factors, such as quality, convenience, innovation, and customer service. Examples will include both domestic and international experiences. Ultimately, the project will identify an array of “hybrid” regulatory and competitive models that address high health care prices and price increases for state and federal policymakers."
"The Morris and Gwendolyn Cafritz Foundation","District of Columbia","AppleTree Institute for Education Innovation","Washington","District of Columbia","Education services" ,"2021","75000","General support;","General support."
"The Morris and Gwendolyn Cafritz Foundation","District of Columbia","Teach for America Inc","Washington","District of Columbia","Education services" ,"2021","75000","General support;","General support."
