Name,Description,Application url
Gilead COMPASS InitiativeTM - Core Grants - Technology,"The Emory University COMPASS Coordinating Center offers Core Grants of up to $4,500 per organization to support a variety of organizational and staff resources, including technology and software, meeting space costs, conference attendance fees, professional development, and continuing education. Funding requests must be related to building organizational capacity in one of the following areas: (1) governance and leadership; (2) mission, values, and strategy; (3) finance and administration; (4) resource development; (5) strategic relationships and coalition building; (6) communications; (7) internal management and operations; or (8) service delivery and impact, and must be clearly described in the application.  Core grant applications are accepted on an ongoing basis, and are reviewed twice each month by an internal team of reviewers. An initial response to completed applications will be given within 14 business days after receipt.  Applicants will be contacted if there are questions or if additional information is required to process an application. All services related to requests are expected to be completed within three (3) months of the date that funding/support is released. A final report will be required upon completion.",https://compassinitiative.secure-platform.com/a/page/Core
Charles M. and Mary D. Grant Foundation Grant,"I. Timeline

Proposals are due April 30th, and grants are made in September.

II. Application Process

Please include the following items in your organization's request:

   1.Proposal (maximum of three pages) which includes:
       - Brief overview of the organization, including key target populations, numbers served, geographic scope, key accomplishments in the previous year)
       - Description of the project for which you are seeking support, including:
           +The issue or need you are addressing
           +What you hope to accomplish (outputs/outcomes)
           +How you intend to accomplish the above and a timeline for these activities
           +Brief bios of key staff engaged in the project, as well as a brief explanation of the roles of partners on the project (if applicable)
   2.Project budget
        - if it is a two-year request, please include a two-year projected budget
        - include a list of foundation, corporate and other support applied to the project budget
   3.Current fiscal year organizational budget
       - also include a projected budget for upcoming year (if available)
       - indicate if the organization has an endowment
            +quote the most recent value of the corpus
            +indicate if the funds are permanently restricted or board restricted
   4.List of foundation and corporate supporters
       - include a list of funders for the current fiscal year
       - also provide a list from the most recently completed fiscal year
       - include foundation and corporation names and amounts
PLEASE NOTE:
All applications to the
Charles M. and Mary D. Grant Foundation
must be submitted online.

Submit Your Application https://www.grantrequest.com/SID_828?SA=SNA&FID=35068

III. Contact

All correspondence, including grant recipient receipts and reports, should be addressed to:

The Charles M. and Mary D. Grant Foundation
c/o Ms. Casey Castaneda, Program Officer or
c/o Ms. Carolyn O'Brien, Program Officer
JPMorgan Chase Bank, N.A.
Private Foundation Services
270 Park Avenue, NY1-K348
New York, NY 10017

E-mail: casey.b.castaneda@jpmorgan.com

E-mail: carolyn.r.obrien@jpmorgan.com",http://fdnweb.org/grant/application/
Morrow Legacy Foundation,"I. Timeline

Application deadlines

May 1

II. Application Process

Application period and deadlines
Applications are accepted year-round. Applications must be submitted by June 30 to be reviewed at the annual grant meeting that occurs in August.

Communications
Applicants will receive an email confirming their submission. Grant decisions are generally communicated by October for applications received by the deadline.

Required agreements and reports
Except as otherwise specified when a grant is awarded, a progress report must be submitted within 9 months after receiving funds.

III. Contact

Call Us

Grant Program or Technical Support

1-888-235-4351

Email us

grantadministration

@wellsfargo.com",https://www.wellsfargo.com/private-foundations/morrow-legacy-foundation
Appalachia Nonprofit Resource Center Technical Assistance Program,"I. Timeline

Deadlines

Oct 9, 2020

II. Application Process

Links to the application packet and the online application are available on the program website .
Inform the appropriate ARC State Program Manager after submitting an application.

HOW TO APPLY To be considered for participation in one of the training sessions, complete the online 15-question application by close of business (5:00pm EDT) on Friday, October 9, 2020.
Be prepared to request your preferred topic areas (short-term management, long-term financial management, mission and operations, or fundraising) and also prioritize in order the desired session (Fall 6-week course; Fall 11-
week course; Winter A or B 5-week course; or Winter 10-week course).
Please inform your ARC State Program Manager when you apply for this initiative.

III. Contact

Online 
email form",https://appalachianrc.arc.gov/wp-content/uploads/2020/09/AppalachiaNRC-Application-Packet.pdf
"South Carolina Coronavirus Aid, Relief, and Economic Security (SC CARES) Elementary and Secondary School Emergency Relief (ESSER) Subgrant 2020","The Coronavirus Aid, Relief, and Economic Security Act (CARES Act) provides substantial relief to students and educators who have been profoundly affected by the Novel Coronavirus Disease (COVID-19). Under the Elementary and Secondary School Emergency Relief (ESSER) Fund, the US Department of Education (USED) awarded a grant to the South Carolina Department of Education (SCDE) for the purpose of providing local educational agencies (LEAs) with emergency relief funds to address the impact that COVID-19 has had, and continues to have, on elementary and secondary schools in South Carolina. This includes both continuing to provide educational services, such as remote learning, while schools and campuses are closed, and developing and implementing plans for the return to normal operations.",https://ed.sc.gov/finance/grants/scde-grant-opportunities/south-carolina-coronavirus-aid-relief-and-economic-security-sc-cares-elementary-and-secondary-school-emergency-relief-esser-subgrant-2020/sc-cares-esser-folder/sc-cares-esser-application-guidance-2020-part-ii/
Spartanburg County Foundation: Covid-19 Grant Opportunity,"I. Timeline

Grant proposals will be accepted on a rolling basis through an online application.

II. Application Process

Application Information The online application will require your organization to describe the following:
Project Overview
- Requested Grant Amount
- Please provide organization's mission.
- Briefly state the purpose of the grant request (i.e. modifying facilities, technology equipment, maintaining services, etc.) Project Narrative
  How has this organization been adversely affected by the COVID-19 pandemic and what needs have resulted?
  What outcomes will the grant allow this organization to achieve? (i.e. modifying facilities to comply with social distancing guidelines, transitioning services online, supporting operations to maintain services)
  What disproportionately affected populations are served by this organization? (Check all that apply)
  Please describe the demographics of those served by this organization (i.e. ethnicity, race, age, income, education level)
  Please provide a detailed explanation of how the funds will be used.
  Please provide data or emerging trends that supports this funding request. (Data provided can be used from local and/or national sources)
  Please list all federal, state, local and private funds your organization has already applied for and/or received to address COVID-19.

Required Attachments
- Verification of tax-exempt status (IRS determination letter)
- List of Board of Directors, officers, and staff
- Annual Budget
- Audited financial statements OR most recent IRS Form 990, if audit was not conducted

III. Contact

If you have any questions, please contact Jasmine Guest, program officer, at jguest@spcf.org",https://124osm314wfg31y4ox2xngxz-wpengine.netdna-ssl.com/wp-content/uploads/2020/05/The-Spartanburg-County-Foundation-COVID-19-Grant-Opportunity-Request-for-Proposals-_Final.pdf
Midlands Community Response Fund,"I. Timeline

No information provided

II. Application Process

Midlands Community Response Fund: COVID-19
The Midlands Community Response Fund supports nonprofits in our 11-county region that are providing direct services in response to the COVID-19 public health emergency.

The Midlands Community Response Fund will provide resources to nonprofit organizations in our region working with priority groups, including senior citizens, individuals who are health compromised, part-time and/or seasonal workers, and individuals who are housing insecure in our 11-county service areas of Calhoun, Clarendon, Fairfield, Kershaw, Lee, Lexington, Newberry, Orangeburg, Richland, Saluda, and Sumter.

III. Contact

Erin E. Johnson
ERIN@YOURFOUNDATION.ORG

(803) 254-5601 X322",https://yourfoundation.org/mcrf/
N.E.W. Fund (Neighborhoods Energized to Win),"I. Timeline

Deadline: 5 p.m. on Jan. 15, or next business day if that date falls on a weekend.

II. Application Process

Application process and schedule
New applicants or those who applied prior to 2015 are required to attend a pre-application session at Coastal Community Foundation in November. Applications are due in mid January. Select groups may receive a site visit and/or follow-up questions, with final decisions announced in late April. All grant recipients must attend a mandatory information session in May

Apply
https://coastalcommunityfoundation.org/grantee-login/

III. Contact

CHARLESTON
1691 Turnbull Avenue
North Charleston, SC 29405 
Phone: 843-723-3635

BEAUFORT
2015 Boundary Street, Suite 215
Beaufort, SC 29902 
Phone: 843-379-3400",https://coastalcommunityfoundation.org/competitive-grants/n-e-w-fund-neighborhoods-energized-to-win/
The Mark Elliott Motley Foundation Grant,"I. Timeline

The Foundation's fiscal year is July 1 - June 30. The deadline to submit complete proposals will be March 31. The Foundation will contact applicants to confirm receipts of their proposals. Grants will be made in June.

II. Application Process

The Foundation invites new organizations seeking support to make an informal inquiry before submitting a proposal. If you have submitted a proposal in the past, an inquiry letter is not necessary. Please direct all written grant inquiries and proposals to The Mark Elliott Motley Foundation, Inc., P.O. Box 1014, Charleston, SC 29402.

Qualified charities should make a proposal in letter form and include the following information:

- A description of the organization, it's purposes, programs, staffing and governing board.
- The organizations latest financial statements, including latest interim and last annual statements.
- Evidence from the IRS of the organizations tax-exempt status and that the applying organization itself is not a private foundation.
- The organization's latest filed Form 990.
- A description of the proposed project and full justification for it's funding, including a project budget and other funding sources of the project.

III. Contact

Jennifer Alphonse, Vice President
jalphonse09@gmail.com

Mailing address:
The Mark Elliott Motley Foundation, Inc.
PO Box 1014
Charleston, SC 29402",http://www.motleyfoundation.org/guidelines.html
North America STEM and Youth Leadership Grants,"Our philanthropic vision is to help young people grow into productive, successful adults. We are proud to support initiatives around the world that prepare the next generation of leaders and innovators.
H.B. Fuller's corporate giving is focused STEM - science, technology, engineering and math - education and youth leadership development. Funding is available in the communities surrounding H.B. Fullers headquarters in St. Paul, Minnesota, and several North America locations where the company operates. Additional funding is directed to key projects in locations outside the US and are made by invitation only.

North America STEM and Youth Leadership Grants
H.B. Fuller conducts an annual grant cycle in the following communities where we operate: Atlanta, Georgia; Chicago, Illinois; Grand Rapids, Michigan; Michigan Center, Michigan; Paducah, Kentucky; Peabody, Massachusetts; Rexdale, Ontario; Simpsonville, South Carolina; South Bend, Indiana; and Vancouver, Washington. Applications accepted April 1  July 31.",https://www.hbfuller.com/-/media/files/community/hb-fuller-grant-guidelines.ashx?la=en&hash=E212690309B8D65BF614F832664CE9C77E4EB50E
